"zip_code_served","facility_type","facility_zip_code"
"50394","ddu",""
"50501","ddu",""
"51108","ddu",""
"51301","ddu",""
"51450","ddu",""
"52761","ddu",""
"53542","ddu",""
"53547","ddu",""
"54131","ddu",""
"54182","ddu",""
"54303","ddu",""
"54429","ddu",""
"54430","ddu",""
"54434","ddu",""
"54464","ddu",""
"54474","ddu",""
"54532","ddu",""
"54543","ddu",""
"54843","ddu",""
"55021","ddu",""
"55109","ddu",""
"55403","ddu",""
"55426","ddu",""
"55707","ddu",""
"55741","ddu",""
"55744","ddu",""
"55746","ddu",""
"55772","ddu",""
"55777","ddu",""
"56302","ddu",""
"56338","ddu",""
"56425","ddu",""
"57078","ddu",""
"57420","ddu",""
"57709","ddu",""
"57717","ddu",""
"58007","ddu",""
"58109","ddu",""
"58507","ddu",""
"58802","ddu",""
"59604","ddu",""
"59911","ddu",""
"60430","ddu",""
"61265","ddu",""
"61702","ddu",""
"61826","ddu",""
"62226","ddu",""
"62568","ddu",""
"62791","ddu",""
"63050","ddu",""
"63330","ddu",""
"63357","ddu",""
"63366","ddu",""
"65042","ddu",""
"68711","ddu",""
"69220","ddu",""
"70117","ddu",""
"70177","ddu",""
"71611","ddu",""
"71754","ddu",""
"71802","ddu",""
"71999","ddu",""
"72023","ddu",""
"72067","ddu",""
"72088","ddu",""
"72145","ddu",""
"72319","ddu",""
"72370","ddu",""
"72436","ddu",""
"72476","ddu",""
"72519","ddu",""
"72525","ddu",""
"72617","ddu",""
"72630","ddu",""
"72702","ddu",""
"72757","ddu",""
"72801","ddu",""
"72811","ddu",""
"73501","ddu",""
"73505","ddu",""
"74133","ddu",""
"74331","ddu",""
"74447","ddu",""
"75143","ddu",""
"75342","ddu",""
"77554","ddu",""
"77555","ddu",""
"78060","ddu",""
"78504","ddu",""
"78628","ddu",""
"78645","ddu",""
"80501","ddu",""
"82604","ddu",""
"83652","ddu",""
"86029","ddu",""
"95229","ddu",""
"95389","ddu",""
"95526","ddu",""
"97733","ddu",""
"98501","ddu",""
"99228","ddu",""
