"Column A Destination ZIP Codes","Column B Label Container To"
"	11023-11024","	GREAT NECK NY 11023"
"	11040, 11042","	NEW HYDE PARK NY 11040"
"	11101, 11109, 11120","	LONG ISLAND CITY NY 11101"
"	11201-11202, 11241-11242, 11245","	BROOKLYN NY 11201"
"	11209, 11252","	BROOKLYN NY 11209"
"	11216, 11247","	BROOKLYN NY 11216"
"	11217, 11243","	BROOKLYN NY 11217"
"	11236, 11239","	BROOKLYN NY 11236"
"	11352, 11355","	FLUSHING NY 11355"
"	11359-11361","	BAYSIDE NY 11360"
"	11362-11363","	LITTLE NECK NY 11362"
"	11365-11366","	FRESH MEADOWS NY 11365"
"	11369-11371","	EAST ELMHURST NY 11369"
"	11373, 11380","	ELMHURST NY 11373"
"	11379, 11381","	MIDDLE VILLAGE NY 11379"
"	11385-11386","	RIDGEWOOD NY 11385"
"	11405, 11431-11433, 11439, 11451","	JAMAICA NY 11432"
"	11415, 11424","	KEW GARDENS NY 11415"
"	11420, 11436","	SOUTH OZONE PARK NY 11420"
"	11425, 11434","	JAMAICA NY 11434"
"	11427-11429","	QUEENS VILLAGE NY 11427"
"	11514, 11568, 11590","	WESTBURY NY 11590"
"	11530-11531","	GARDEN CITY NY 11530"
"	11549-11551","	HEMPSTEAD NY 11550"
"	11553, 11555-11556","	UNIONDALE NY 11553"
"	11570-11571","	ROCKVILLE CENTRE NY 11570"
"	11580-11582","	VALLEY STREAM NY 11580"
"	11690-11691","	FAR ROCKAWAY NY 11691"
"	11694-11695, 11697","	ROCKAWAY PARK NY 11694"
"	11704, 11707","	WEST BABYLON NY 11704"
"	11722, 11749","	CENTRAL ISLIP NY 11722"
"	11724, 11743","	HUNTINGTON NY 11743"
"	11746, 11760, 11773, 11775","	HUNTINGTON STATION NY 11746"
"	11776-11777","	PORT JEFFERSON NY 11777"
"	11787-11788","	SMITHTOWN NY 11787"
"	11790, 11794","	STONY BROOK NY 11790"
"	11791, 11797","	SYOSSET NY 11791"
"	11801-11803, 11815","	HICKSVILLE NY 11801"
"	11968-11969","	SOUTHAMPTON NY 11968"
"	12019, 12027","	BURNT HILLS NY 12027"
"	12028, 12057","	EAGLE BRIDGE NY 12057"
"	12051, 12192","	COXSACKIE NY 12051"
"	12055, 12193","	WESTERLO NY 12193"
"	12058, 12176","	EARLTON NY 12058"
"	12168-12169","	STEPHENTOWN NY 12168"
"	12180-12181","	TROY NY 12180"
"	12202, 12207, 12210","	ALBANY NY 12207"
"	12301, 12305, 12307-12308, 12345","	SCHENECTADY NY 12305"
"	12401-12402","	KINGSTON NY 12401"
"	12405, 12413, 12473","	CAIRO NY 12413"
"	12409, 12498","	WOODSTOCK NY 12498"
"	12414, 12451, 12482","	CATSKILL NY 12414"
"	12428, 12458","	ELLENVILLE NY 12428"
"	12433, 12448, 12457, 12495","	WOODSTOCK NY 12433"
"	12440, 12472","	ROSENDALE NY 12472"
"	12466, 12487","	ULSTER PARK NY 12487"
"	12513, 12526, 12534","	HUDSON NY 12534"
"	12514, 12545","	MILLBROOK NY 12545"
"	12528, 12542, 12547","	HIGHLAND NY 12528"
"	12533, 12540, 12570, 12582","	HOPEWELL JUNCTION NY 12533"
"	12538, 12580","	HYDE PARK NY 12538"
"	12550-12552","	NEWBURGH NY 12550"
"	12567, 12581","	PINE PLAINS NY 12567"
"	12569, 12578, 12603-12604","	POUGHKEEPSIE NY 12603"
"	12601-12602","	POUGHKEEPSIE NY 12601"
"	12701, 12777","	MONTICELLO NY 12701"
"	12721, 12775, 12790","	WURTSBORO NY 12790"
"	12734, 12754, 12783","	LIBERTY NY 12754"
"	12746, 12771","	PORT JERVIS NY 12771"
